[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=952, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=953, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=951, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=950, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=948, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=949, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=947, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=946, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=945, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=944, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=943, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=942, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=941, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=940, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=939, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=938, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=937, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=936, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=935, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=934, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=933, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=932, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=931, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=930, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=929, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=928, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=927, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=926, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=925, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=924, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=923, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=922, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=921, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=920, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=919, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=918, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=917, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=916, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=914, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=913, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=915, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=912, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=910, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=911, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=909, errno=104
